"date","FIPS","hospitalizations","aerosols","pm25"
2020-05-02,"9",0,-1.27303298930792,4.04210721449925
2020-05-03,"1",83,-3.03518433340619,3.15494566706893
2020-05-03,"2",18,-1.35480616279091,3.11657589046193
2020-05-03,"3",0,-1.8163487184978,3.76567137264619
2020-05-03,"5",1,-1.18341805301197,2.69362077741861
2020-05-03,"6",0,-2.16231155291752,2.84615384615385
2020-05-03,"7",3,-2.27529368349199,2.20888234882329
2020-05-03,"9",0,-1.8302559038369,2.28460073454493
2020-05-04,"1",78,-0.911847216797394,5.0081550600771
2020-05-04,"2",16,-1.72184688269262,4.88224963130522
2020-05-04,"3",0,-1.1563262844646,4.49958792440668
2020-05-04,"5",1,-1.66048052226397,3.75437285187586
2020-05-04,"6",0,-1.68494679666383,3.70769230769231
2020-05-04,"7",3,-1.42448093445791,3.30395027423035
2020-05-04,"9",0,-1.03273552495677,2.95640051971726
2020-05-05,"1",72,-1.60059920576919,5.14662226068446
2020-05-05,"2",16,-1.60586221646662,4.7979791616676
2020-05-05,"3",0,-1.50011845142615,4.76320988426784
2020-05-05,"5",1,-1.44072780631355,3.37907807830351
2020-05-05,"6",0,-1.31481576434,4.33076923076923
2020-05-05,"7",3,-1.41828533924038,3.41208563644442
2020-05-05,"9",0,-1.26349105337303,4.18746269185438
2020-05-06,"1",68,-0.946805123492304,2.80431137951145
2020-05-06,"2",17,-1.85557977645341,3.06924071118325
2020-05-06,"3",0,-2.20865593510921,3.16799032401197
2020-05-06,"5",1,-1.51805482617328,2.50739670486081
2020-05-06,"6",0,-1.73150935195632,3.32692307692308
2020-05-06,"7",3,-1.51374033995621,2.43714150400238
2020-05-06,"9",1,-1.09843995509912,3.16440906479114
2020-05-07,"1",69,-1.25647416926951,3.19891850056258
2020-05-07,"2",20,-1.83680343592535,3.41075969323516
2020-05-07,"3",0,-1.63536215968123,4.10218982505655
2020-05-07,"5",0,-1.46626326835982,2.61969295962718
2020-05-07,"6",0,-1.23300256407075,3.23846153846154
2020-05-07,"7",3,-1.44628506768503,2.82772238088231
2020-05-07,"9",1,-0.900538810786432,2.43865337032676
2020-05-08,"1",68,-1.37907603857649,2.33953780934088
2020-05-08,"2",20,-1.78166890576508,2.80731639404373
2020-05-08,"3",0,-1.58044750823538,5.0329817070832
2020-05-08,"5",0,-1.50982222715284,3.27038624522178
2020-05-08,"6",0,-1.43459266131799,3.20769230769231
2020-05-08,"7",2,-1.4398725794749,2.9496859816075
2020-05-08,"9",1,-1.02364164337332,3.27658036134039
2020-05-09,"1",58,-1.36291075247545,2.37716743983353
2020-05-09,"2",14,-1.60317834109656,3.52081909555868
2020-05-09,"3",0,-1.42212984258096,5.40926668908223
2020-05-09,"5",0,-1.62046513330004,3.88142494406553
2020-05-09,"6",0,-1.26490840849894,3.71538461538462
2020-05-09,"7",3,-1.55814770983205,2.92231323548951
2020-05-09,"9",1,-1.31150245050954,3.75726175172814
2020-05-10,"1",57,-1.61075017832376,3.87771081709396
2020-05-10,"2",14,-1.81728830939176,4.9124381239839
2020-05-10,"3",0,-1.26072962943307,5.96856770721951
2020-05-10,"5",0,-1.53314103452166,4.51384209359381
2020-05-10,"6",0,-1.56133549517402,3.88461538461538
2020-05-10,"7",3,-1.72714987078001,3.30208925094184
2020-05-10,"9",1,-1.33484474007152,3.95574910193267
2020-05-11,"1",49,-1.02269228900854,4.67599206201844
2020-05-11,"2",12,-1.39101487827509,5.28250840516253
2020-05-11,"3",0,-1.27402475556077,5.87858521770732
2020-05-11,"5",0,-0.775633305290292,3.64594236636395
2020-05-11,"6",0,-1.19188203000944,4.63846153846154
2020-05-11,"7",2,-1.80659790653624,3.7822409741142
2020-05-11,"9",1,-1.43291867393885,4.10921999782651
2020-05-12,"1",51,-1.64325996987303,4.84296185786778
2020-05-12,"2",9,-1.60068920167818,4.77893873195957
2020-05-12,"3",0,-1.09665338539394,4.24269953457133
2020-05-12,"5",0,-1.79853858527597,2.1284117280439
2020-05-12,"6",0,-1.45374330411635,4.72692307692308
2020-05-12,"7",2,-1.70841169583043,2.89498553486704
2020-05-12,"9",1,-1.3384087825539,3.53589816639958
2020-05-13,"1",48,-2.68670947350272,2.34769124218869
2020-05-13,"2",8,-1.61210878135355,2.50409890860953
2020-05-13,"3",0,-1.1774640403259,2.61572925804318
2020-05-13,"5",0,-0.99645271553645,2.03311775504957
2020-05-13,"6",0,-1.53610121998644,3.03846153846154
2020-05-13,"7",2,-2.42543234394998,1.81564068752599
2020-05-13,"9",1,-1.3284849563354,2.10868815223585
2020-05-14,"1",46,-1.17420687729365,2.65492797260819
2020-05-14,"2",8,-1.29738280779132,2.53432314513498
2020-05-14,"3",0,-0.865518343672952,2.95079284574849
2020-05-14,"5",0,-0.527230774810714,2.78645682627432
2020-05-14,"6",0,-1.01299928142895,2.91538461538462
2020-05-14,"7",2,-1.28260568859793,1.98776271181598
2020-05-14,"9",1,-2.05938137399376,2.24037157141819
2020-05-15,"1",42,-1.78410453578856,3.05988660752135
2020-05-15,"2",9,-1.42045338538753,2.67463418333095
2020-05-15,"3",0,-1.40577170029688,3.52282366497966
2020-05-15,"5",0,-1.40156568436717,2.97012821468859
2020-05-15,"6",0,-1.23605164928085,2.62692307692308
2020-05-15,"7",1,-1.50126110478337,2.09292342837224
2020-05-15,"9",1,-1.35705588804216,2.05062689092482
2020-05-16,"1",47,-1.45996229589255,4.50370888098696
2020-05-16,"2",10,-1.36839008585067,4.32586829979806
2020-05-16,"3",0,-1.12039158366085,3.99268376802684
2020-05-16,"5",0,-0.618468403973363,3.0500285938533
2020-05-16,"6",0,-1.47150011003109,3.16153846153846
2020-05-16,"7",1,-1.20894410422106,2.81218554229605
2020-05-16,"9",1,-1.51089294636198,2.68255768014933
2020-05-17,"1",43,-1.41576313868387,3.43078262710018
2020-05-17,"2",8,-1.67085022519129,3.1386527003017
2020-05-17,"3",0,-2.0043487756675,3.08477248093321
2020-05-17,"5",0,-2.60887935888431,2.31439572695851
2020-05-17,"6",0,-0.595267351758341,3.31923076923077
2020-05-17,"7",2,-0.894897681801098,2.18127611760117
2020-05-17,"9",1,-0.54863265200849,2.40642738818664
2020-05-18,"1",43,-0.672253331836338,3.55922481081699
2020-05-18,"2",10,-1.45642974592881,2.33377577156291
2020-05-18,"3",0,-1.27485085801449,2.52155109684928
2020-05-18,"5",0,-0.696235501493143,1.90280173623174
2020-05-18,"6",0,-1.48397855510434,3.57692307692308
2020-05-18,"7",2,-1.23593651550951,2.14082750561104
2020-05-18,"9",1,-0.822452054388056,3.19051170774791
2020-05-19,"1",43,-0.72957105020825,2.67963751166912
2020-05-19,"2",9,-1.08678713967791,2.03896242413785
2020-05-19,"3",0,-1.26829541000044,2.29960033482608
2020-05-19,"5",0,-1.62780864548659,2.05199739226053
2020-05-19,"6",0,-1.27129403265057,2.92307692307692
2020-05-19,"7",1,-1.49155758501423,1.80136303697788
2020-05-19,"9",1,-1.20173238370981,2.32691425085604
2020-05-20,"1",40,-0.877339893716114,2.49662917156298
2020-05-20,"2",10,-0.884533292975688,2.35561769519255
2020-05-20,"3",0,-1.27934712004037,2.53615680492476
2020-05-20,"5",0,-1.51311870864447,2.07978034234312
2020-05-20,"6",0,-1.7374131874543,2.55769230769231
2020-05-20,"7",1,-1.70505823060072,1.70836929020128
2020-05-20,"9",1,-0.844883904951908,2.16206379265107
2020-05-21,"1",45,-1.17583571203684,2.37704168204458
2020-05-21,"2",14,-1.17176563490232,2.28802728745791
2020-05-21,"3",0,-1.4059669225063,2.98932103493041
2020-05-21,"5",0,-1.35709887025353,2.25378164621285
2020-05-21,"6",0,-2.21193564928171,2.41923076923077
2020-05-21,"7",1,-2.25834801115024,1.87766410284719
2020-05-21,"9",1,-0.919687698214822,1.98758769778346
2020-05-22,"1",39,-1.85678051136372,2.30406246618016
2020-05-22,"2",12,-2.35728479255798,1.94684935818799
2020-05-22,"3",0,-2.40114049958852,2.32763184848503
2020-05-22,"5",0,-1.35754584027507,1.93213784506845
2020-05-22,"6",0,-2.38085897356301,2.25384615384615
2020-05-22,"7",1,-1.95738826198037,1.70512139520553
2020-05-22,"9",1,-1.0883206457129,1.95180150835685
2020-05-23,"1",42,-1.47559373500609,3.69335686140258
2020-05-23,"2",9,-2.19497552627139,2.99628095485882
2020-05-23,"3",0,-2.10606619409831,3.15535134659498
2020-05-23,"5",0,-1.99082841761583,2.25056427032801
2020-05-23,"6",0,-1.83211467891309,2.59615384615385
2020-05-23,"7",0,-1.25193578559298,2.24257733667257
2020-05-23,"9",0,-1.5473984462451,2.0471088025909
2020-05-24,"1",42,-1.90239908339547,7.22160413467639
2020-05-24,"2",9,-2.13781425899041,5.23684898073081
2020-05-24,"3",0,-2.03928806946332,4.43954303545098
2020-05-24,"5",0,-2.06529344898251,2.63355135159266
2020-05-24,"6",0,-1.88487001227139,3.23076923076923
2020-05-24,"7",0,-1.84585526623237,2.51054281750788
2020-05-24,"9",0,-1.15992295742868,3.02023492949053
2020-05-25,"1",37,-1.19799202608511,5.49455738220574
2020-05-25,"2",9,-1.21778619598705,4.70270500643025
2020-05-25,"3",1,-1.39210952394108,4.68203429194065
2020-05-25,"5",0,-1.61037490815533,2.40496405753887
2020-05-25,"6",0,-1.00264894127663,3.90384615384615
2020-05-25,"7",0,-1.28578609712238,2.8174417644462
2020-05-25,"9",0,-1.36883978836165,3.38069760153129
2020-05-26,"1",39,-1.66773295952979,5.63438446700579
2020-05-26,"2",10,-1.67900784447007,3.8051689862309
2020-05-26,"3",2,-2.02676334663734,3.89810107430856
2020-05-26,"5",0,-1.4259496102981,2.88579945445971
2020-05-26,"6",0,-1.73241501600495,3.01538461538462
2020-05-26,"7",1,-1.26307494367746,2.71815600628037
2020-05-26,"9",0,-1.49580448221835,2.64412994492414
2020-05-27,"1",36,-1.36834927750562,3.99080592494284
2020-05-27,"2",10,-1.72104661316954,4.10204682895528
2020-05-27,"3",1,-1.58365774198994,4.71263493993629
2020-05-27,"5",0,-1.61513419431711,3.06409114568201
2020-05-27,"6",0,-1.18128437614815,2.84230769230769
2020-05-27,"7",0,-1.39498044633898,2.96294832983075
2020-05-27,"9",0,-1.18437909173997,2.61302577391699
2020-05-28,"1",42,-1.50872852084518,4.13032822918603
2020-05-28,"2",10,-1.80043864528317,4.84898247655047
2020-05-28,"3",1,-1.68521074579108,6.3028983701195
2020-05-28,"5",0,-1.65913206937267,4.06509964951643
2020-05-28,"6",0,-1.38802291269961,3.93461538461538
2020-05-28,"7",0,-1.67610715258602,3.46010947784084
2020-05-28,"9",0,-1.34065653725097,3.64301095573097
2020-05-29,"1",44,-1.83529067203773,4.58023708904248
2020-05-29,"2",10,-2.2936593258084,5.62205732361291
2020-05-29,"3",1,-2.54768637601838,7.01801289110993
2020-05-29,"5",0,-2.22850701645671,5.60976484454945
2020-05-29,"6",0,-1.79400465427186,5.35
2020-05-29,"7",0,-1.95311174187823,5.07015388044157
2020-05-29,"9",0,-1.40459059037474,4.81429270480528
2020-05-30,"1",42,-0.981723306880862,4.04440417882277
2020-05-30,"2",10,-0.866832338557556,5.0386176304856
2020-05-30,"3",1,-0.904329493905699,5.53968501364591
2020-05-30,"5",0,-0.953579228711923,4.84475097659295
2020-05-30,"6",0,-1.46010593041324,6.10769230769231
2020-05-30,"7",0,-1.9936037742038,5.61843116525396
2020-05-30,"9",0,-1.66759484771274,6.09460847386494
2020-05-31,"1",39,-1.83631401728805,3.07075056466387
2020-05-31,"2",11,-1.13826923515699,3.07351459815639
2020-05-31,"3",0,-1.94917899312202,3.28050025578775
2020-05-31,"5",0,-1.81233770282944,2.2354573008849
2020-05-31,"6",0,-1.5458428550401,2.98461538461538
2020-05-31,"7",1,-1.28899112325689,2.2312423299079
2020-05-31,"9",0,-1.02177155125022,3.09118831284625
2020-06-01,"1",40,-1.33006071491825,3.42033654039993
2020-06-01,"2",8,-1.66966440656262,3.91027326551686
2020-06-01,"3",0,-1.57107116018296,4.27387334426379
2020-06-01,"5",0,-1.65758446924581,3.10922750955643
2020-06-01,"6",0,-1.26583031087211,3.46153846153846
2020-06-01,"7",0,-1.58440655574342,2.75630775516852
2020-06-01,"9",0,-1.42419631419129,2.87466480458667
2020-06-02,"1",42,-1.6183028749691,3.27761026248524
2020-06-02,"2",8,-2.05769707165866,3.32805538779681
2020-06-02,"3",0,-2.11882761120527,4.60238590532249
2020-06-02,"5",0,-1.5349077417128,3.6210436170364
2020-06-02,"6",0,-1.32447063515835,3.33461538461538
2020-06-02,"7",0,-1.27915221614532,3.23925848513984
2020-06-02,"9",0,-1.22671695480402,3.20191180417419
2020-06-03,"1",39,-1.77323517879843,2.8681279219733
2020-06-03,"2",10,-2.43262448395824,2.95036870152035
2020-06-03,"3",0,-1.68331036284786,3.48949809122582
2020-06-03,"5",0,-1.55500773721715,3.60858975315012
2020-06-03,"6",0,-2.2038396116783,3.22692307692308
2020-06-03,"7",0,-2.14892636869208,3.19371697485139
2020-06-03,"9",1,-1.63006036638074,3.24583187483076
2020-06-04,"1",31,-2.30258828386113,2.9605830688006
2020-06-04,"2",13,-1.92184650273785,3.4090073078406
2020-06-04,"3",1,-0.875032342937394,3.67225501672411
2020-06-04,"5",0,-1.2450423912388,3.16668872205054
2020-06-04,"6",0,-2.16621966418956,3.37307692307692
2020-06-04,"7",0,-1.49758069835002,3.0073915186461
2020-06-04,"9",1,-1.54088168925526,3.60041590589371
2020-06-05,"1",33,-1.29084708376291,3.04382470563779
2020-06-05,"2",16,-1.44234812030365,3.28128694699153
2020-06-05,"3",1,-1.30520256233842,3.83660307934444
2020-06-05,"5",0,-1.61276200854762,3.27390986090144
2020-06-05,"6",0,-1.13950710983636,3.63461538461538
2020-06-05,"7",1,-1.3625539688206,3.60750068218282
2020-06-05,"9",1,-1.48291856437821,3.68298172163545
2020-06-06,"1",30,-0.929956738917966,3.66333946463809
2020-06-06,"2",16,-1.45397066120983,3.66696707764564
2020-06-06,"3",4,-1.3064006198558,3.48521214079918
2020-06-06,"5",0,-2.6170096994375,2.88843460312654
2020-06-06,"6",0,-1.01447889347866,3.26538461538462
2020-06-06,"7",3,-2.40384011606935,2.78732031447556
2020-06-06,"9",3,-0.893387900566263,3.22288479100534
2020-06-07,"1",31,-2.09535885436267,2.50242406766597
2020-06-07,"2",16,-2.02626048561255,2.31587284276482
2020-06-07,"3",4,-0.713087371483554,1.95188730252117
2020-06-07,"5",0,-1.15051775654879,1.86744651527845
2020-06-07,"6",0,-2.47108154017134,2.36153846153846
2020-06-07,"7",4,-0.426491865601586,1.66296795955192
2020-06-07,"9",4,-1.11869909641778,1.93136673149123
2020-06-08,"1",26,-1.91391885400126,3.00079391752096
2020-06-08,"2",15,-1.78350462374453,2.95931783377325
2020-06-08,"3",3,-1.59314225737084,2.86727079849307
2020-06-08,"5",0,-1.9307128646531,2.34804915848277
2020-06-08,"6",0,-1.71349218369651,2.8
